Method,Mean Similarity,Std Similarity,Min Similarity,Max Similarity,Median Similarity
2gram,0.00726395176680189,0.010625808254231714,0.0,0.09523809523809523,0.002398081534772182
3gram,0.0018804115795202309,0.003932489738155215,0.0,0.07317073170731707,0.0
multilingual_embedding,0.8046306371688843,0.12036164849996567,0.42404666543006897,0.9781664609909058,0.8404456377029419
